date,components temperature(℃),temperature(℃),air pressure(hPa),humidity(%),total radiation(W/m2),direct radiation(W/m2),diffuse radiation(W/m2),load(mw)
2019-01-03 22:15:00,-21.4575,-12.714,926.078,59.24,0,0,0,0
2019-01-03 22:30:00,-21.6475,-12.204,926.075,58.76,0,0,0,0
2019-01-03 22:45:00,-21.9375,-12.438,926.075,60.25,0,0,0,0
2019-01-03 23:00:00,-22.1525,-13.167,926.077,62.14,0,0,0,0
2019-01-03 23:15:00,-22.445,-14.01,926.075,66.074,0,0,0,0
2019-01-03 23:30:00,-22.725,-14.354,926.075,66.728,0,0,0,0
2019-01-03 23:45:00,-23.0771,-14.343,926.073,68.227,0,0,0,0
2019-01-04 00:00:00,-23.25,-13.415,926.073,65.603,0,0,0,0
2019-01-04 00:15:00,-23.375,-13.402,926.07,65.896,0,0,0,0
2019-01-04 00:30:00,-23.235,-13.052,926.07,66.779,0,0,0,0
2019-01-04 00:45:00,-23.4425,-12.989,926.07,65.963,0,0,0,0
2019-01-04 01:00:00,-23.6575,-13.031,926.07,66.726,0,0,0,0
2019-01-04 01:15:00,-23.9,-13.17,926.071,67.027,0,0,0,0
2019-01-04 01:30:00,-24.15,-14.092,926.069,67.566,0,0,0,0
2019-01-04 01:45:00,-24.08,-14.029,926.069,69.659,0,0,0,0
2019-01-04 02:00:00,-24.175,-14.032,926.069,69.741,0,0,0,0
2019-01-04 02:15:00,-24.3,-13.781,926.067,69.674,0,0,0,0
2019-01-04 02:30:00,-24.2825,-13.172,926.067,67.668,0,0,0,0
2019-01-04 02:45:00,-24.3425,-13.617,926.068,67.859,0,0,0,0
2019-01-04 03:00:00,-24.6025,-14.268,926.068,69.236,0,0,0,0
2019-01-04 03:15:00,-24.355,-14.575,926.067,70.475,0,0,0,0
2019-01-04 03:30:00,-24.0375,-14.611,926.067,70.569,0,0,0,0
2019-01-04 03:45:00,-23.945,-14.486,926.067,70.394,0,0,0,0
2019-01-04 04:00:00,-23.4775,-14.428,926.069,70.699,0,0,0,0
2019-01-04 04:15:00,-23.4475,-14.159,926.067,69.836,0,0,0,0
2019-01-04 04:30:00,-23.435,-14.182,926.066,69.062,0,0,0,0
2019-01-04 04:45:00,-23.25,-14.124,926.066,69.617,0,0,0,0
2019-01-04 05:00:00,-23.25,-13.937,926.066,69.562,0,0,0,0
2019-01-04 05:15:00,-22.6375,-13.727,926.067,68.797,0,0,0,0
